group_id,source_system,source_record_id,scenario
duplicate-0000,CRM,crm-0000,changed_phone
duplicate-0000,Billing,billing-0000,changed_phone
duplicate-0001,CRM,crm-0001,duplicate
duplicate-0001,Billing,billing-0001,duplicate
duplicate-0002,CRM,crm-0002,duplicate
duplicate-0002,Billing,billing-0002,duplicate
duplicate-0003,CRM,crm-0003,duplicate
duplicate-0003,Billing,billing-0003,duplicate
duplicate-0004,CRM,crm-0004,duplicate
duplicate-0004,Billing,billing-0004,duplicate
duplicate-0005,CRM,crm-0005,duplicate
duplicate-0005,Billing,billing-0005,duplicate
duplicate-0006,CRM,crm-0006,duplicate
duplicate-0006,Billing,billing-0006,duplicate
duplicate-0007,CRM,crm-0007,duplicate
duplicate-0007,Billing,billing-0007,duplicate
duplicate-0008,CRM,crm-0008,duplicate
duplicate-0008,Billing,billing-0008,duplicate
duplicate-0009,CRM,crm-0009,duplicate
duplicate-0009,Billing,billing-0009,duplicate
duplicate-0010,CRM,crm-0010,duplicate
duplicate-0010,Billing,billing-0010,duplicate
duplicate-0011,CRM,crm-0011,duplicate
duplicate-0011,Billing,billing-0011,duplicate
duplicate-0012,CRM,crm-0012,duplicate
duplicate-0012,Billing,billing-0012,duplicate
duplicate-0013,CRM,crm-0013,duplicate
duplicate-0013,Billing,billing-0013,duplicate
duplicate-0014,CRM,crm-0014,duplicate
duplicate-0014,Billing,billing-0014,duplicate
duplicate-0015,CRM,crm-0015,duplicate
duplicate-0015,Billing,billing-0015,duplicate
duplicate-0016,CRM,crm-0016,duplicate
duplicate-0016,Billing,billing-0016,duplicate
duplicate-0017,CRM,crm-0017,duplicate
duplicate-0017,Billing,billing-0017,duplicate
duplicate-0018,CRM,crm-0018,duplicate
duplicate-0018,Billing,billing-0018,duplicate
duplicate-0019,CRM,crm-0019,duplicate
duplicate-0019,Billing,billing-0019,duplicate
duplicate-0020,CRM,crm-0020,duplicate
duplicate-0020,Billing,billing-0020,duplicate
duplicate-0021,CRM,crm-0021,duplicate
duplicate-0021,Billing,billing-0021,duplicate
duplicate-0022,CRM,crm-0022,duplicate
duplicate-0022,Billing,billing-0022,duplicate
duplicate-0023,CRM,crm-0023,duplicate
duplicate-0023,Billing,billing-0023,duplicate
duplicate-0024,CRM,crm-0024,duplicate
duplicate-0024,Billing,billing-0024,duplicate
duplicate-0025,CRM,crm-0025,duplicate
duplicate-0025,Billing,billing-0025,duplicate
duplicate-0026,CRM,crm-0026,duplicate
duplicate-0026,Billing,billing-0026,duplicate
duplicate-0027,CRM,crm-0027,duplicate
duplicate-0027,Billing,billing-0027,duplicate
duplicate-0028,CRM,crm-0028,duplicate
duplicate-0028,Billing,billing-0028,duplicate
duplicate-0029,CRM,crm-0029,duplicate
duplicate-0029,Billing,billing-0029,duplicate
duplicate-0030,CRM,crm-0030,duplicate
duplicate-0030,Billing,billing-0030,duplicate
duplicate-0031,CRM,crm-0031,duplicate
duplicate-0031,Billing,billing-0031,duplicate
duplicate-0032,CRM,crm-0032,duplicate
duplicate-0032,Billing,billing-0032,duplicate
duplicate-0033,CRM,crm-0033,duplicate
duplicate-0033,Billing,billing-0033,duplicate
duplicate-0034,CRM,crm-0034,duplicate
duplicate-0034,Billing,billing-0034,duplicate
duplicate-0035,CRM,crm-0035,duplicate
duplicate-0035,Billing,billing-0035,duplicate
duplicate-0036,CRM,crm-0036,duplicate
duplicate-0036,Billing,billing-0036,duplicate
duplicate-0037,CRM,crm-0037,changed_phone
duplicate-0037,Billing,billing-0037,changed_phone
duplicate-0038,CRM,crm-0038,duplicate
duplicate-0038,Billing,billing-0038,duplicate
duplicate-0039,CRM,crm-0039,duplicate
duplicate-0039,Billing,billing-0039,duplicate
duplicate-0040,CRM,crm-0040,duplicate
duplicate-0040,Billing,billing-0040,duplicate
duplicate-0041,CRM,crm-0041,duplicate
duplicate-0041,Billing,billing-0041,duplicate
duplicate-0042,CRM,crm-0042,duplicate
duplicate-0042,Billing,billing-0042,duplicate
duplicate-0043,CRM,crm-0043,duplicate
duplicate-0043,Billing,billing-0043,duplicate
duplicate-0044,CRM,crm-0044,duplicate
duplicate-0044,Billing,billing-0044,duplicate
duplicate-0045,CRM,crm-0045,duplicate
duplicate-0045,Billing,billing-0045,duplicate
duplicate-0046,CRM,crm-0046,duplicate
duplicate-0046,Billing,billing-0046,duplicate
duplicate-0047,CRM,crm-0047,duplicate
duplicate-0047,Billing,billing-0047,duplicate
duplicate-0048,CRM,crm-0048,duplicate
duplicate-0048,Billing,billing-0048,duplicate
duplicate-0049,CRM,crm-0049,duplicate
duplicate-0049,Billing,billing-0049,duplicate
duplicate-0050,CRM,crm-0050,duplicate
duplicate-0050,Billing,billing-0050,duplicate
duplicate-0051,CRM,crm-0051,duplicate
duplicate-0051,Billing,billing-0051,duplicate
duplicate-0052,CRM,crm-0052,duplicate
duplicate-0052,Billing,billing-0052,duplicate
duplicate-0053,CRM,crm-0053,duplicate
duplicate-0053,Billing,billing-0053,duplicate
duplicate-0054,CRM,crm-0054,duplicate
duplicate-0054,Billing,billing-0054,duplicate
duplicate-0055,CRM,crm-0055,duplicate
duplicate-0055,Billing,billing-0055,duplicate
duplicate-0056,CRM,crm-0056,duplicate
duplicate-0056,Billing,billing-0056,duplicate
duplicate-0057,CRM,crm-0057,duplicate
duplicate-0057,Billing,billing-0057,duplicate
duplicate-0058,CRM,crm-0058,duplicate
duplicate-0058,Billing,billing-0058,duplicate
duplicate-0059,CRM,crm-0059,duplicate
duplicate-0059,Billing,billing-0059,duplicate
duplicate-0060,CRM,crm-0060,duplicate
duplicate-0060,Billing,billing-0060,duplicate
duplicate-0061,CRM,crm-0061,duplicate
duplicate-0061,Billing,billing-0061,duplicate
duplicate-0062,CRM,crm-0062,duplicate
duplicate-0062,Billing,billing-0062,duplicate
duplicate-0063,CRM,crm-0063,duplicate
duplicate-0063,Billing,billing-0063,duplicate
duplicate-0064,CRM,crm-0064,duplicate
duplicate-0064,Billing,billing-0064,duplicate
duplicate-0065,CRM,crm-0065,duplicate
duplicate-0065,Billing,billing-0065,duplicate
duplicate-0066,CRM,crm-0066,duplicate
duplicate-0066,Billing,billing-0066,duplicate
duplicate-0067,CRM,crm-0067,duplicate
duplicate-0067,Billing,billing-0067,duplicate
duplicate-0068,CRM,crm-0068,duplicate
duplicate-0068,Billing,billing-0068,duplicate
duplicate-0069,CRM,crm-0069,duplicate
duplicate-0069,Billing,billing-0069,duplicate
duplicate-0070,CRM,crm-0070,duplicate
duplicate-0070,Billing,billing-0070,duplicate
duplicate-0071,CRM,crm-0071,duplicate
duplicate-0071,Billing,billing-0071,duplicate
duplicate-0072,CRM,crm-0072,duplicate
duplicate-0072,Billing,billing-0072,duplicate
duplicate-0073,CRM,crm-0073,duplicate
duplicate-0073,Billing,billing-0073,duplicate
duplicate-0074,CRM,crm-0074,changed_phone
duplicate-0074,Billing,billing-0074,changed_phone
duplicate-0075,CRM,crm-0075,duplicate
duplicate-0075,Billing,billing-0075,duplicate
duplicate-0076,CRM,crm-0076,duplicate
duplicate-0076,Billing,billing-0076,duplicate
duplicate-0077,CRM,crm-0077,duplicate
duplicate-0077,Billing,billing-0077,duplicate
duplicate-0078,CRM,crm-0078,duplicate
duplicate-0078,Billing,billing-0078,duplicate
duplicate-0079,CRM,crm-0079,duplicate
duplicate-0079,Billing,billing-0079,duplicate
duplicate-0080,CRM,crm-0080,duplicate
duplicate-0080,Billing,billing-0080,duplicate
duplicate-0081,CRM,crm-0081,duplicate
duplicate-0081,Billing,billing-0081,duplicate
duplicate-0082,CRM,crm-0082,duplicate
duplicate-0082,Billing,billing-0082,duplicate
duplicate-0083,CRM,crm-0083,duplicate
duplicate-0083,Billing,billing-0083,duplicate
duplicate-0084,CRM,crm-0084,duplicate
